lemma,upos,lexical_class
знакомый,NOUN,general
знаменитый,ADJ,general
знание,NOUN,general
знать,VERB,general
значение,NOUN,general
значимость,NOUN,general
значимый,ADJ,everyday
значит,ADV,general
значительно,ADV,general
значительный,ADJ,general
значить,VERB,general
значиться,VERB,general
значок,NOUN,general
знобить,VERB,general
зов,NOUN,everyday
зов,VERB,everyday
золовка,NOUN,everyday
золотистый,ADJ,everyday
золото,NOUN,everyday
золотой,ADJ,general
зона,NOUN,general
зонд,NOUN,specialized
зонт,NOUN,everyday
зонтик,NOUN,everyday
зоопарк,NOUN,everyday
зрачок,NOUN,general
зрелищный,ADJ,everyday
зрение,NOUN,general
зритель,NOUN,general
зуб,NOUN,general
зубной,ADJ,everyday
зубрить,VERB,specialized
зубрёжка,NOUN,general
зубчик,NOUN,everyday
зуль,NOUN,specialized
зумер,NOUN,specialized
зять,NOUN,everyday
зёрен,NOUN,everyday
и,CCONJ,general
и,PART,general
и-,ADJ,everyday
иблкать,VERB,everyday
иван,PROPN,general
иванов,PROPN,general
иванович,PROPN,general
иваново,PROPN,everyday
ивановой,PROPN,everyday
иврита,NOUN,specialized
игом,NOUN,specialized
игорь,PROPN,everyday
игра,NOUN,everyday
игра,PROPN,general
играть,VERB,general
игровой,ADJ,general
игрок,NOUN,everyday
игрушечный,ADJ,everyday
игрушка,NOUN,everyday
идеализировать,VERB,specialized
идеально,ADV,everyday
идеальный,ADJ,general
идентификатор,NOUN,specialized
идентификация,NOUN,general
идентичность,NOUN,specialized
идеологический,ADJ,specialized
идеология,NOUN,specialized
идея,NOUN,general
идти,VERB,general
иерархия,NOUN,specialized
иероглиф,NOUN,specialized
иероглифический,ADJ,specialized
из,ADP,general
из-за,ADP,general
из-под,ADP,general
избавить,VERB,everyday
избавиться,VERB,general
избегать,VERB,general
избегнуть,VERB,general
избиратель,NOUN,specialized
избирательный,ADJ,general
избрать,VERB,specialized
избушка,NOUN,specialized
избыточный,ADJ,general
извержение,NOUN,everyday
известный,ADJ,general
извечный,ADJ,general
извещать,VERB,general
извивать,VERB,everyday
извинение,NOUN,general
извинить,VERB,everyday
извиниться,VERB,general
извинять,VERB,everyday
извлекать,VERB,specialized
извлечение,NOUN,specialized
изготовить,VERB,everyday
издалека,ADV,everyday
издание,NOUN,general
издатель,NOUN,specialized
издательский,ADJ,specialized
издательство,NOUN,general
издать,VERB,specialized
изделие,NOUN,general
издержка,NOUN,general
излагать,VERB,general
излишек,NOUN,specialized
излучение,NOUN,specialized
изменение,NOUN,general
изменить,VERB,general
измениться,VERB,general
изменять,VERB,specialized
измерение,NOUN,specialized
измереть,VERB,general
измерить,VERB,general
измерять,VERB,specialized
изначально,ADV,general
изначальный,ADJ,everyday
изнашивать,VERB,specialized
износ,NOUN,everyday
изношенный,VERB,everyday
изношный,ADJ,everyday
изображать,VERB,specialized
изображение,NOUN,general
изобразить,VERB,everyday
изобретение,NOUN,specialized
изолировать,VERB,general
изоляция,NOUN,specialized
израиль,PROPN,everyday
изредка,ADV,specialized
изучать,VERB,general
изучение,NOUN,general
изучить,VERB,general
изюм,NOUN,everyday
изящный,ADJ,specialized
ии,NOUN,general
ии,PROPN,general
икона,NOUN,specialized
иконописный,ADJ,specialized
иконопись,NOUN,specialized
или,CCONJ,general
илиада,PROPN,specialized
иллюзия,NOUN,specialized
иллюстрация,NOUN,specialized
иллюстрировать,VERB,specialized
илон,PROPN,general
илья,PROPN,general
именина,NOUN,everyday
именинник,NOUN,everyday
именинница,NOUN,everyday
именно,PART,general
иметь,VERB,general
иметься,VERB,general
имитация,NOUN,specialized
иммунитет,NOUN,specialized
иммунный,ADJ,specialized
императрица,NOUN,specialized
империя,NOUN,specialized
импорт,NOUN,general
импортный,ADJ,general
имущество,NOUN,general
имя,NOUN,general
иначе,ADV,general
иначе,CCONJ,general
инвалид,NOUN,specialized
инвестиция,NOUN,general
инвестор,NOUN,general
индекс,NOUN,general
индексировать,VERB,general
индивидуальный,ADJ,everyday
индийский,ADJ,everyday
индикатор,NOUN,general
индия,PROPN,general
индоевропейский,ADJ,specialized
индуистский,ADJ,specialized
индустриальный,ADJ,specialized
индустрия,NOUN,general
инерция,NOUN,everyday
инженер,NOUN,everyday
инициатива,NOUN,general
иногда,ADV,general
иной,ADJ,general
иностранец,NOUN,everyday
иностранный,ADJ,general
инспектор,NOUN,everyday
инспекция,NOUN,specialized
инсталляция,NOUN,specialized
инстанция,NOUN,general
институт,NOUN,general
институциональный,ADJ,specialized
инструктор,NOUN,everyday
инструкция,NOUN,general
инструмент,NOUN,general
инструментальный,ADJ,specialized
инстрюкция,NOUN,general
инсценировать,VERB,specialized
интеграция,NOUN,general
интеллект,NOUN,general
интеллектуальный,ADJ,general
интеллигентный,ADJ,specialized
интенсивно,ADV,everyday
интенсивность,NOUN,general
интенсивный,ADJ,specialized
интервальный,ADJ,specialized
интервью,NOUN,general
интерес,NOUN,general
интересный,ADJ,general
интернет,NOUN,general
интерпретация,NOUN,specialized
интерпретировать,VERB,general
интерфейс,NOUN,everyday
интонация,NOUN,general
интрига,NOUN,specialized
интуиция,NOUN,specialized
инфаркт,NOUN,general
инфекция,NOUN,general
инфляция,NOUN,general
информатика,NOUN,general
информационный,ADJ,everyday
информация,NOUN,general
инфраструктура,NOUN,general
инцидент,NOUN,general
иоганн,PROPN,specialized
ипотека,NOUN,everyday
ипотечный,ADJ,everyday
ирина,PROPN,everyday
иркутск,PROPN,everyday
ирония,NOUN,everyday
исаак,PROPN,specialized
иск,NOUN,general
искать,VERB,general
исключать,VERB,general
исключение,NOUN,general
исключительно,ADV,general
исключительный,ADJ,everyday
исключить,VERB,general
ископаемое,ADJ,specialized
ископаемый,ADJ,general
искоренение,NOUN,specialized
искренний,ADJ,everyday
искрить,VERB,everyday
искусно,ADV,specialized
искусственный,ADJ,general
искусство,NOUN,general
искусствовед,NOUN,everyday
ислам,NOUN,specialized
исламский,ADJ,specialized
испания,PROPN,general
испарять,VERB,everyday
испачкать,VERB,general
испекать,VERB,everyday
испечь,VERB,everyday
исписать,VERB,everyday
исполнение,NOUN,general
исполнитель,NOUN,general
исполнительный,ADJ,general
исполнить,VERB,everyday
исполниться,VERB,everyday
исполнять,VERB,specialized
исполняться,VERB,everyday
использование,NOUN,general
использовать,VERB,general
испортить,VERB,general
испорчить,VERB,everyday
исправить,VERB,general
исправление,NOUN,everyday
испугаться,VERB,everyday
испытание,NOUN,general
испытуемый,NOUN,specialized
испытывать,VERB,specialized
исследование,NOUN,general
исследователь,NOUN,specialized
исследовательский,ADJ,general
исследовать,VERB,specialized
исследоваться,VERB,specialized
исток,NOUN,general
историк,NOUN,general
историография,NOUN,specialized
исторически,ADV,general
исторический,ADJ,general
история,NOUN,general
источник,NOUN,general
истощение,NOUN,general
исходить,VERB,specialized
исходный,ADJ,general
исчезать,VERB,specialized
исчезновение,NOUN,general
исчезнуть,VERB,general
итак,ADV,everyday
италия,PROPN,general
итальянский,ADJ,general
итог,NOUN,general
итого,ADV,everyday
итого,NOUN,everyday
итоговый,ADJ,general
иудаизм,NOUN,specialized
их,DET,general
июль,NOUN,general
июльский,ADJ,general
июнь,NOUN,general
июньский,ADJ,general
к,ADP,general
к,PROPN,general
кабан,NOUN,everyday
кабель,NOUN,general
кабинет,NOUN,general
каблук,NOUN,everyday
кавказ,PROPN,specialized
кавказский,ADJ,everyday
кадр,NOUN,general
кадры,NOUN,general
каждый,DET,general
казанский,PROPN,everyday
казань,PROPN,everyday
казаться,VERB,general
казахский,ADJ,everyday
казахстан,PROPN,everyday
казимир,PROPN,specialized
как,ADV,general
как,SCONJ,general
как-нибудь,ADV,everyday
как-то,ADV,general
какой,DET,general
какой-либо,DET,general
какой-нибудь,DET,general
какой-то,DET,general
кактус,NOUN,everyday
календар,NOUN,everyday
календарем,NOUN,specialized
календарный,ADJ,everyday
календарь,NOUN,general
калининград,PROPN,specialized
калорийность,NOUN,everyday
калош,NOUN,everyday
каменистый,ADJ,everyday
каменный,ADJ,specialized
камень,NOUN,general
камера,NOUN,general
камерный,ADJ,everyday
камешка,NOUN,everyday
каморка,NOUN,everyday
кампания,NOUN,general
камчатка,PROPN,general
камыш,NOUN,everyday
канада,PROPN,everyday
канадец,NOUN,everyday
канадский,ADJ,everyday
канал,NOUN,general
канатный,ADJ,everyday
кандидат,NOUN,general
каникулы,NOUN,general
канон,NOUN,specialized
канонический,ADJ,specialized
капать,VERB,everyday
капель,NOUN,everyday
капля,NOUN,general
капляха,NOUN,specialized
капот,NOUN,everyday
капризничать,VERB,everyday
капуста,NOUN,everyday
капучино,NOUN,everyday
карамазов,PROPN,specialized
карамелизация,NOUN,specialized
карамельный,ADJ,everyday
карандаш,NOUN,everyday
караоке,NOUN,general
карелия,PROPN,everyday
каримь,NOUN,everyday
карл,PROPN,general
карма,NOUN,specialized
карман,NOUN,everyday
карманный,ADJ,everyday
карпов,PROPN,everyday
карри,NOUN,everyday
карта,NOUN,general
картай,PROPN,everyday
картина,NOUN,general
картографический,ADJ,specialized
картография,NOUN,specialized
картофель,NOUN,general
карточка,NOUN,everyday
картошка,NOUN,everyday
каршеринг,NOUN,everyday
карьера,NOUN,everyday
карьерный,ADJ,general
касаться,VERB,general
каскад,NOUN,everyday
каско,PROPN,general
каспаров,PROPN,everyday
каспийский,ADJ,general
касса,NOUN,everyday
кассеты,NOUN,specialized
кассини,PROPN,specialized
кассир,NOUN,everyday
кастрюля,NOUN,everyday
каталог,NOUN,everyday
катание,NOUN,everyday
катар,PROPN,general
катастрофа,NOUN,general
кататься,VERB,everyday
категория,NOUN,general
каток,NOUN,everyday
кать,INTJ,everyday
катюша,PROPN,everyday
катя,PROPN,everyday
кафе,NOUN,everyday
кафедра,NOUN,general
качать,VERB,everyday
качественно,ADV,everyday
качественный,ADJ,general
качество,NOUN,general
каша,NOUN,everyday
кашель,NOUN,general
квадрат,NOUN,everyday
квадратный,ADJ,specialized
квантовый,ADJ,everyday
квартал,NOUN,general
квартира,NOUN,everyday
квартирник,NOUN,specialized
квашеный,ADJ,everyday
квитанция,NOUN,everyday
квота,NOUN,specialized
кело,PROPN,specialized
керамический,ADJ,everyday
кефир,NOUN,specialized
киберспорт,NOUN,everyday
кивать,VERB,everyday
кивок,NOUN,everyday
кидать,VERB,everyday
киевский,PROPN,specialized
килиан,PROPN,general
килограмм,NOUN,everyday
километр,NOUN,general
километровый,ADJ,everyday
ким,PROPN,general
кима,PROPN,general
кинематограф,NOUN,specialized
кинематографический,ADJ,specialized
кино,NOUN,general
киноактер,NOUN,specialized
киноиндустрия,NOUN,general
кинопрокат,NOUN,everyday
кинотеатр,NOUN,everyday
кинотеория,NOUN,specialized
киноязык,NOUN,specialized
киоска,NOUN,everyday
киото,PROPN,general
киотский,ADJ,everyday
кипение,NOUN,general
кипеть,VERB,general
кипяток,NOUN,everyday
киргизия,PROPN,everyday
киргизский,ADJ,everyday
кирилл,PROPN,general
кириллица,NOUN,specialized
кирпичный,ADJ,everyday
кисленький,ADJ,everyday
кисловатый,ADJ,everyday
кисловатый,VERB,everyday
кислород,NOUN,everyday
кислота,NOUN,specialized
кислый,ADJ,everyday
кисточка,NOUN,everyday
кисть,NOUN,everyday
китай,PROPN,general
китайский,ADJ,general
кихот,PROPN,specialized
кишечник,NOUN,specialized
кишечный,ADJ,specialized
класс,NOUN,general
классик,NOUN,specialized
классика,NOUN,specialized
классификация,NOUN,general
классифицировать,VERB,specialized
классический,ADJ,general
классный,ADJ,general
класть,NOUN,everyday
класть,VERB,everyday
клеветнический,ADJ,specialized
клен,NOUN,everyday
клетка,NOUN,general
клетчатый,ADJ,everyday
клиент,NOUN,general
климат,NOUN,general
климатический,ADJ,general
клиника,NOUN,everyday
клип,NOUN,general
клониться,VERB,everyday
клоун,NOUN,everyday
клуб,NOUN,general
клубок,NOUN,general
клушино,PROPN,specialized
клюквенный,ADJ,everyday
клюсти,VERB,everyday
ключ,NOUN,everyday
ключевой,ADJ,general
ключевский,PROPN,everyday
ключевской,ADJ,everyday
клюшка,NOUN,everyday
книга,NOUN,general
книгопечатание,NOUN,specialized
книжный,ADJ,general
кнопка,NOUN,general
кнопочный,ADJ,everyday
княжество,NOUN,specialized
князь,NOUN,general
ковалев,PROPN,specialized
ковалёв,PROPN,everyday
ковер,NOUN,everyday
коворкинг,NOUN,everyday
коврик,NOUN,everyday
ковш,NOUN,everyday
когда,SCONJ,general
когда-нибудь,ADV,general
когда-то,ADV,general
когнитивный,ADJ,specialized
когортный,ADJ,specialized
код,NOUN,general
кодекс,NOUN,general
кодировать,VERB,specialized
кодокусь,NOUN,specialized
кое-где,ADV,everyday
кое-что,NOUN,everyday
кожа,NOUN,general
кожаный,ADJ,everyday
кожный,ADJ,specialized
коза,NOUN,everyday
колбаса,NOUN,everyday
колебание,NOUN,general
колебаться,VERB,general
коленка,NOUN,general
колено,NOUN,everyday
коленок,NOUN,general
колесо,NOUN,everyday
колеть,VERB,general
количество,NOUN,general
коллаборация,NOUN,specialized
коллега,NOUN,general
коллегия,NOUN,specialized
колледж,NOUN,general
коллектив,NOUN,general
коллективно,ADV,general
коллективный,ADJ,general
коллекционер,NOUN,everyday
коллекционирование,NOUN,everyday
коллекционировать,VERB,everyday
коллекционный,ADJ,everyday
коллекция,NOUN,everyday
колодец,NOUN,everyday
колокольчик,NOUN,general
колониальный,ADJ,specialized
колония,NOUN,specialized
колонка,NOUN,specialized
колотиться,VERB,everyday
кольцевой,ADJ,everyday
кольцо,NOUN,general
коляска,NOUN,everyday
ком,NOUN,everyday
команда,NOUN,general
командир,NOUN,general
командировка,NOUN,everyday
командный,ADJ,everyday
комар,NOUN,everyday
комбайн,NOUN,general
комбинация,NOUN,general
комбинировать,VERB,specialized
комедия,NOUN,everyday
комикс,NOUN,specialized
комиссар,NOUN,general
комиссионный,ADJ,everyday
комиссия,NOUN,general
комиссия,PROPN,general
комитет,NOUN,general
комитет,PROPN,general
комический,ADJ,specialized
комментарий,NOUN,general
комментатор,NOUN,general
коммерциализация,NOUN,specialized
коммерческий,ADJ,general
коммуналка,NOUN,everyday
коммунальный,ADJ,everyday
коммуникабельный,ADJ,general
коммуникация,NOUN,general
комната,NOUN,everyday
комок,NOUN,everyday
комочка,NOUN,everyday
компактность,NOUN,specialized
компактный,ADJ,general
компания,NOUN,general
компас,NOUN,everyday
компенсация,NOUN,general
компенсировать,VERB,general
комплексный,ADJ,specialized
комплект,NOUN,everyday
комплектация,NOUN,everyday
комплимент,NOUN,everyday
композитор,NOUN,general
композиция,NOUN,general
компоновка,NOUN,general
компромисс,NOUN,general
компромиссный,ADJ,specialized
компьютер,NOUN,general
комсомольский,ADJ,everyday
комфортный,ADJ,general
конвейер,NOUN,general
конвенция,NOUN,specialized
конвенция,PROPN,general
конденсироваться,VERB,specialized
кондитерская,ADJ,general
кондитерский,ADJ,everyday
кондиционер,NOUN,general
кондиционирование,NOUN,general
конек,NOUN,everyday
конец,NOUN,general
конечно,ADV,general
конечный,ADJ,general
конкретный,ADJ,general
конкурентный,ADJ,specialized
конкуренция,NOUN,general
конкурировать,VERB,specialized
конкурс,NOUN,general
консенсус,NOUN,everyday
консервация,NOUN,everyday
консервы,NOUN,everyday
конспект,NOUN,general
конституционный,ADJ,specialized
конституция,NOUN,everyday
конструктивизм,NOUN,specialized
конструктивист,NOUN,specialized
конструктор,NOUN,specialized
конструкция,NOUN,general
консульство,NOUN,everyday
консультант,NOUN,everyday
консультация,NOUN,specialized
контакт,NOUN,general
контактный,ADJ,general
контейнер,NOUN,general
контекст,NOUN,specialized
контекстный,ADJ,specialized
контент,NOUN,general
контракт,NOUN,everyday
контрастный,ADJ,specialized
контратака,NOUN,everyday
контролировать,VERB,general
контроль,NOUN,general
контрольный,ADJ,general
конференция,NOUN,general
конфессия,NOUN,specialized
конфета,NOUN,general
конфликт,NOUN,general
конфликтовать,VERB,specialized
конфорка,NOUN,everyday
конформность,NOUN,specialized
концентрироваться,VERB,specialized
концерт,NOUN,general
концертный,ADJ,specialized
концовка,NOUN,everyday
кончина,NOUN,everyday
кончиться,VERB,general
конь,NOUN,everyday
кооперативный,ADJ,general
координатный,ADJ,specialized
координация,NOUN,specialized
координировать,VERB,specialized
копать,VERB,everyday
копейка,NOUN,everyday
копилка,NOUN,everyday
копир,NOUN,general
копирка,NOUN,specialized
копирование,NOUN,general
копировать,VERB,general
копить,VERB,general
копия,NOUN,general
кора,NOUN,general
кораблика,NOUN,everyday
корабль,NOUN,general
корейский,ADJ,general
коренастый,ADJ,everyday
коренной,ADJ,specialized
корень,NOUN,everyday
корея,PROPN,general
корзина,NOUN,everyday
корзинка,NOUN,everyday
коридор,NOUN,general
корина,PROPN,everyday
коричневый,ADJ,everyday
корм,NOUN,everyday
корма,NOUN,everyday
кормить,VERB,everyday
коробка,NOUN,everyday
корова,NOUN,general
коровок,NOUN,everyday
королев,PROPN,specialized
королевство,NOUN,specialized
король,NOUN,everyday
коронавирус,NOUN,general
короткий,ADJ,general
коротко,ADV,general
коротковолновый,ADJ,specialized
короткометражкажа,NOUN,specialized
корочка,NOUN,everyday
корпоратив,NOUN,general
корпус,NOUN,general
корректный,ADJ,specialized
корчить,VERB,everyday
косвенный,ADJ,specialized
косметический,ADJ,everyday
космический,ADJ,general
космонавт,NOUN,general
космос,NOUN,general
коснуться,VERB,everyday
костер,NOUN,everyday
косточка,NOUN,everyday
кострище,NOUN,everyday
костром,PROPN,everyday
костыль,NOUN,general
кость,NOUN,specialized
костюм,NOUN,everyday
кот,NOUN,general
котелок,NOUN,everyday
котенок,NOUN,general
котика,NOUN,everyday
котлета,NOUN,everyday
котловина,NOUN,everyday
который,PRON,general
кофе,NOUN,everyday
кофеварка,NOUN,everyday
кофеина,NOUN,general
кофейня,NOUN,general
кофемашина,NOUN,general
кофта,NOUN,everyday
кочевник,NOUN,everyday
кошелек,NOUN,everyday
кошка,NOUN,general
кошмар,NOUN,everyday
кощей,PROPN,specialized
коэффициент,NOUN,general
кража,NOUN,everyday
край,NOUN,general
крайва,NOUN,everyday
крайне,ADV,general
крайний,ADJ,general
крайность,NOUN,general
крамник,PROPN,everyday
кран,NOUN,everyday
краника,NOUN,everyday
крапива,NOUN,everyday
крапивница,NOUN,everyday
красавица,NOUN,general
красиво,ADV,general
красивый,ADJ,everyday
красить,VERB,general
краска,NOUN,general
красный,ADJ,general
красота,NOUN,general
красть,VERB,everyday
краткий,ADJ,general
кратко,ADV,specialized
кратковременный,ADJ,general
краткосрочный,ADJ,specialized
крачка,NOUN,everyday
крашенинников,PROPN,everyday
крашеный,ADJ,everyday
кредит,NOUN,general
кредитный,ADJ,general
кредитование,NOUN,everyday
кредитор,NOUN,specialized
крем,NOUN,everyday
крем-супа,NOUN,everyday
кремация,NOUN,specialized
кремлевский,ADJ,everyday
кремль,NOUN,everyday
кремль,PROPN,general
кремля,NOUN,everyday
крепкий,ADJ,everyday
крепко,ADV,everyday
крепостной,ADJ,specialized
крепость,NOUN,general
кресло,NOUN,general
крестить,VERB,everyday
крещение,NOUN,general
кривая,ADJ,general
кривой,ADJ,specialized
кризис,NOUN,general
крик,NOUN,general
крика,NOUN,specialized
криптоактив,NOUN,general
криптовалют,NOUN,general
кристи,PROPN,everyday
критерий,NOUN,specialized
критий,NOUN,specialized
критик,NOUN,general
критика,NOUN,general
критиковать,VERB,general
критически,ADV,general
критический,ADJ,general
критичный,ADJ,general
кричалка,NOUN,everyday
кричать,VERB,everyday
кровавый,ADJ,specialized
кровать,NOUN,everyday
кровля,NOUN,everyday
кровный,ADJ,everyday
кровопролитный,ADJ,specialized
кровь,NOUN,general
кролик,NOUN,everyday
кроль,NOUN,everyday
кроме,ADP,general
кроноцкий,PROPN,everyday
кроссовки,NOUN,everyday
крошечный,ADJ,everyday
крошка,NOUN,everyday
круассан,NOUN,everyday
круассана,NOUN,everyday
круг,NOUN,general
круглый,ADJ,general
кругом,ADV,general
кружить,VERB,general
кружиться,VERB,everyday
кружка,NOUN,general
кружок,NOUN,general
круиз,NOUN,everyday
круизный,ADJ,specialized
круп,NOUN,everyday
крупа,NOUN,everyday
крупенин,PROPN,everyday
крупномасштабный,ADJ,specialized
крупность,NOUN,specialized
крупный,ADJ,general
крупный,ADV,general
крутить,VERB,general
крутиться,VERB,everyday
крутой,ADJ,everyday
крылатый,ADJ,everyday
крыльцо,NOUN,everyday
крытый,ADJ,general
крыша,NOUN,general
крышка,NOUN,general
крючок,NOUN,everyday
крякать,VERB,everyday
кстати,ADV,everyday
кто,PRON,general
кто-нибудь,PRON,general
кто-то,PRON,general
куда,ADV,general
куда-либо,ADV,general
куда-то,ADV,everyday
кудри,NOUN,everyday
кузнецова,PROPN,everyday
куйбышевский,ADJ,everyday
кукай,PROPN,specialized
кукуруза,NOUN,everyday
кул-шариф,PROPN,everyday
кулешов,PROPN,specialized
кулич,NOUN,everyday
культ,NOUN,everyday
культивировать,VERB,everyday
культура,NOUN,general
культурный,ADJ,general
кумбха,PROPN,specialized
кумир,NOUN,everyday
купаться,VERB,everyday
купе,NOUN,general
купить,VERB,everyday
купол,NOUN,everyday
купюра,NOUN,everyday
курант,NOUN,everyday
куратор,NOUN,general
курение,NOUN,general
курить,VERB,general
курица,NOUN,everyday
курносый,ADJ,everyday
курортный,ADJ,general
курс,NOUN,general
курск,PROPN,specialized
курсовой,ADJ,general
куртка,NOUN,everyday
курьер,NOUN,general
курьера,NOUN,general
курьий,ADJ,specialized
кусать,VERB,everyday
кусок,NOUN,general
кусочек,NOUN,everyday
куст,NOUN,general
кустарник,NOUN,everyday
кустик,NOUN,everyday
кухня,NOUN,everyday
кухонный,ADJ,general
куча,NOUN,everyday
кучка,NOUN,everyday
кэмпбелл,PROPN,specialized
кэндзи,PROPN,everyday
л,NOUN,everyday
л'анс-о-медоуз,PROPN,specialized
лаборатория,NOUN,general
лава,NOUN,specialized
лаванда,NOUN,everyday
лавка,NOUN,everyday
лавочка,NOUN,everyday
лавра,NOUN,everyday
лавров,PROPN,everyday
лагерь,NOUN,everyday
лагуна,NOUN,specialized
ладно,ADV,everyday
ладно,PART,general
ладонь,NOUN,general
ладья,NOUN,everyday
лазить,VERB,everyday
лай,NOUN,general
лайка,PROPN,specialized
лайт,NOUN,specialized
лайт-новел,NOUN,specialized
лак,NOUN,general
лактоз,NOUN,everyday
лампа,NOUN,everyday
лампочка,NOUN,general
лапша,NOUN,everyday
ласково,ADV,everyday
латвия,PROPN,specialized
лауреат,NOUN,specialized
лаять,VERB,everyday
лебединый,ADJ,specialized
лев,PROPN,general
левитан,PROPN,specialized
левкас,NOUN,specialized
левый,ADJ,general
легально,ADV,specialized
легенда,NOUN,general
легитимный,ADJ,general
легкий,ADJ,general
легко,ADV,general
легковой,ADJ,general
лед,NOUN,everyday
ледник,NOUN,general
ледобура,NOUN,everyday
ледовитый,ADJ,everyday
ледоступа,NOUN,everyday
ледянка,NOUN,everyday
ледяной,ADJ,general
лежать,VERB,general
лезть,VERB,everyday
лекарство,NOUN,general
лексика,NOUN,specialized
лектория,NOUN,general
лекция,NOUN,general
лен,PROPN,everyday
лена,NOUN,everyday
лена,PROPN,general
ленинград,PROPN,general
ленинградский,PROPN,specialized
лениться,VERB,everyday
лента,NOUN,general
лень,ADV,general
лень,NOUN,general
леонид,PROPN,everyday
леонов,PROPN,specialized
лепать,VERB,everyday
лепить,VERB,general
лермонтов,PROPN,specialized
лес,NOUN,everyday
леска,NOUN,everyday
лесопарк,NOUN,everyday
лесопарка,NOUN,everyday
лестница,NOUN,everyday
лететь,VERB,everyday
летний,ADJ,general
летный,ADJ,specialized
лето,NOUN,general
летопись,NOUN,specialized
летосчисление,NOUN,specialized
летчик,NOUN,specialized
лечение,NOUN,general
лечить,VERB,general
лечь,VERB,general
лешей,PROPN,everyday
ли,PART,general
либо,CCONJ,general
ливень,NOUN,everyday
лига,PROPN,general
лид,NOUN,specialized
лида,NOUN,specialized
лидировать,VERB,everyday
ликвидность,NOUN,specialized
лимит,NOUN,everyday
лимита,NOUN,general
лимон,NOUN,everyday
лимонный,ADJ,specialized
лингвист,NOUN,specialized
лингвистика,NOUN,specialized
лингвистический,ADJ,specialized
линейка,NOUN,general
линия,NOUN,general
лионель,PROPN,general
липать,VERB,general
липнуть,VERB,everyday
лирика,NOUN,specialized
лирический,ADJ,specialized
лиса,NOUN,everyday
лисичек,NOUN,everyday
лист,NOUN,general
листать,VERB,general
листва,NOUN,everyday
лиственница,NOUN,everyday
листик,NOUN,everyday
листовка,NOUN,general
листок,NOUN,general
листочек,NOUN,everyday
литер,NOUN,specialized
литература,NOUN,general
литературный,ADJ,specialized
литературовед,NOUN,general
литературоведение,NOUN,specialized
литиевый,ADJ,everyday
литовский,ADJ,specialized
литосфера,NOUN,specialized
литр,NOUN,general
лить,VERB,everyday
лифт,NOUN,everyday
лицензироваться,VERB,specialized
лицо,NOUN,general
личико,NOUN,everyday
личинка,NOUN,everyday
лично,ADV,general
личность,NOUN,everyday
личный,ADJ,general
лишайник,NOUN,everyday
лишать,VERB,general
лишение,NOUN,general
лишиться,VERB,everyday
лишний,ADJ,general
лишь,PART,general
ловить,VERB,everyday
ловко,ADV,everyday
ловля,VERB,general
ловушка,NOUN,specialized
ловь,VERB,everyday
логичный,ADJ,everyday
лодка,NOUN,everyday
лодочка,NOUN,everyday
лодыжка,NOUN,everyday
ложиться,VERB,general
ложка,NOUN,everyday
ложь,NOUN,general
локальный,ADJ,general
локация,NOUN,general
локоть,NOUN,general
ломаться,VERB,general
ломить,VERB,general
ломиться,VERB,everyday
ломоносов,PROPN,specialized
лондон,PROPN,general
лопата,NOUN,everyday
лопатка,NOUN,everyday
лосось,NOUN,everyday
лось,NOUN,everyday
лотерейный,ADJ,everyday
лотерея,NOUN,general
лотка,NOUN,general
лоток,NOUN,general
лошадь,NOUN,everyday
луг,NOUN,everyday
лужа,NOUN,everyday
лузгать,VERB,everyday
луи,PROPN,general
лук,NOUN,everyday
луковица,NOUN,everyday
луковой,ADJ,everyday
луна,PROPN,general
лунка,NOUN,everyday
лунный,ADJ,specialized
лупа,NOUN,everyday
луч,NOUN,general
лучший,ADJ,general
лыжа,NOUN,everyday
лыжник,NOUN,everyday
лыжня,NOUN,everyday
лысеть,ADJ,everyday
льгота,NOUN,general
льняный,ADJ,specialized
любимый,ADJ,everyday
любительница,NOUN,everyday
любить,VERB,everyday
любовный,ADJ,specialized
любовь,NOUN,general
любой,DET,general
любопытный,ADJ,everyday
любопытство,NOUN,general
людвиг,PROPN,everyday
людмила,PROPN,everyday
лёгкий,ADJ,everyday
лёш,PROPN,everyday
м,PROPN,general
м-м,INTJ,everyday
м.,PROPN,general
магазин,NOUN,general
магистраль,NOUN,specialized
магма,NOUN,specialized
магматический,ADJ,everyday
магнит,NOUN,everyday
магнитный,ADJ,everyday
магнитофонный,ADJ,specialized
магнитуда,NOUN,general
мажоритарный,ADJ,specialized
мазка,NOUN,everyday
май,NOUN,general
майор,NOUN,general
майор,PROPN,general
майский,ADJ,general
майя,NOUN,general
майяр,PROPN,specialized
макарон,NOUN,everyday
макароны,NOUN,everyday
макартур,PROPN,general
макс,PROPN,general
максимально,ADV,everyday
максимальный,ADJ,general
максимум,NOUN,general
малевич,PROPN,specialized
маленький,ADJ,general
малина,NOUN,everyday
мало,ADV,general
маловероятный,ADJ,specialized
малый,ADJ,general
мальчик,NOUN,everyday
мальчишка,NOUN,general
малярный,ADJ,everyday
мама,NOUN,everyday
манг,NOUN,specialized
манга,NOUN,specialized
манги,NOUN,specialized
мандарин,NOUN,everyday
мандат,NOUN,specialized
манеж,NOUN,everyday
манизер,PROPN,everyday
манный,ADJ,everyday
манхейм,PROPN,specialized
маньчжурия,PROPN,specialized
маори,NOUN,specialized
маргарита,PROPN,specialized
